sample_name,asset
hg38,fasta
hg19,fasta
mm10,fasta
hg38_chr22,fasta
human_repeats,fasta
human_alu,fasta
human_alphasat,fasta
human_rDNA,fasta
mouse_chrM2x,fasta
hg38,ensembl_gtf
hg19,ensembl_gtf
mm10,ensembl_gtf
hg38_chr22,ensembl_gtf
human_repeats,ensembl_gtf
human_alu,ensembl_gtf
human_alphasat,ensembl_gtf
human_rDNA,ensembl_gtf
mouse_chrM2x,ensembl_gtf
hg38,star_index
hg19,star_index
rCRSd,star_index
rn6,star_index
mm10,star_index
hg38_chr22,star_index
human_repeats,star_index
human_alu,star_index
human_alphasat,star_index
human_rDNA,star_index
mouse_chrM2x,star_index
hg38,bwa_index
hg19,bwa_index
rCRSd,bwa_index
rn6,bwa_index
hg38_chr22,bwa_index
human_repeats,bwa_index
human_alu,bwa_index
human_alphasat,bwa_index
human_rDNA,bwa_index
mouse_chrM2x,bwa_index
mm10,bwa_index
hg19,bowtie2_index
hg38,bowtie2_index
rCRSd,bowtie2_index
rn6,bowtie2_index
mm10,bowtie2_index
hg38_chr22,bowtie2_index
human_repeats,bowtie2_index
human_alu,bowtie2_index
human_alphasat,bowtie2_index
human_rDNA,bowtie2_index
mouse_chrM2x,bowtie2_index
hg19,bismark_bt1_index
hg38,bismark_bt1_index
rCRSd,bismark_bt1_index
rn6,bismark_bt1_index
mm10,bismark_bt1_index
hg38_chr22,bismark_bt1_index
human_repeats,bismark_bt1_index
human_alu,bismark_bt1_index
human_alphasat,bismark_bt1_index
human_rDNA,bismark_bt1_index
mouse_chrM2x,bismark_bt1_index
hg19,bismark_bt2_index
hg38,bismark_bt2_index
rCRSd,bismark_bt2_index
rn6,bismark_bt2_index
mm10,bismark_bt2_index
hg38_chr22,bismark_bt2_index
human_repeats,bismark_bt2_index
human_alu,bismark_bt2_index
human_alphasat,bismark_bt2_index
human_rDNA,bismark_bt2_index
mouse_chrM2x,bismark_bt2_index
hs38d1,fasta
